x rho vx vy vz p Bx By Bz E
2.465820312500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.902753484588100797e-162 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 3.501152070685480880e-162 8.812499999999998668e-01
2.514648437500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.254965709388242847e-161 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -4.436973816325062338e-162 8.812499999999998668e-01
2.563476562500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -9.456557433596250233e-161 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -3.343397943987982986e-161 8.812499999999998668e-01
2.612304687500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.887719836293155419e-160 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -6.674097486116250385e-161 8.812499999999998668e-01
2.661132812500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.979906475126044894e-161 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 1.407109428524935113e-161 8.812499999999998668e-01
2.709960937500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.241568374872564433e-159 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 4.389607085895760131e-160 8.812499999999998668e-01
2.758789062500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.228765269397256634e-159 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 1.141540908425204855e-159 8.812499999999998668e-01
2.807617187500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.597973245476020606e-159 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 5.649688590153850110e-160 8.812499999999998668e-01
2.856445312500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.480384559529551536e-158 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -5.233949804036033632e-159 8.812499999999998668e-01
2.905273437500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.085179764343276979e-158 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -1.797882547459870957e-158 8.812499999999998668e-01
2.954101562500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.383838211617594601e-158 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -1.903474254123027520e-158 8.812499999999998668e-01
